tipo,valor,data,hora
Temperatura,26,20/05/2024,15:15:01
Temperatura,26,20/05/2024,15:15:19
Temperatura,26,20/05/2024,15:15:38
Temperatura,26,20/05/2024,15:15:55
Temperatura,26,20/05/2024,15:16:11
Temperatura,26,20/05/2024,15:16:31
Temperatura,26,20/05/2024,15:16:47
Temperatura,26,20/05/2024,15:17:04
Temperatura,26,20/05/2024,15:17:21
Temperatura,26,20/05/2024,15:17:38
Temperatura,26,20/05/2024,15:17:54
Temperatura,26,20/05/2024,15:18:11
Temperatura,26,20/05/2024,15:18:28
Temperatura,26,20/05/2024,15:18:45
Temperatura,26,20/05/2024,15:19:01
Temperatura,26,20/05/2024,15:19:18
